Expediente,FechaRegistro,Calle,Numero,AlturaObra,Zona,Seccion,Manzana,Parcela,Barrio,Comuna,CodigoPostal,Tipo,MetrosCuadrados,Longitud,Latitud
28394748/19,2019-09-26,"SALGUERO, JERONIMO",1205,1205/09,18,19,5,25,Palermo,14,C1177AEW,Obra Media,2159.63,-58.4186439571222,-34.596425522972496
34980659/18,2019-07-29,FRAY JUSTO SANTAMARIA DE ORO,2466,2466/70,18,19,176,-33,Palermo,14,C1425FOJ,Obra Mayor,994.97,-58.4249711127365,-34.5796598774029
21190277/17,2019-09-16,HUERGO,244,244/46,17,23,70,2,Palermo,14,C1426BQD,Micro Obra,,-58.43135549525471,-34.5734441870026
21910998/19,2019-09-05,HONDURAS,4431,4431/35,18,19,46,24,Palermo,14,C1414BME,Micro Obra,22,-58.4244456480227,-34.5924817684509
18101807/18,2019-07-24,GUATEMALA,5621,5621/29,17,35,100,028/029,Palermo,14,C1425BVI,Obra Mayor,3981.32,-58.43205342494021,-34.5800242154
22386441/18,2019-07-24,GASCON,1279,1279/87,18,19,8,15a,Palermo,14,C1181ACW,Obra Mayor,4473.39,-58.422736550318795,-34.595578392399204
20019069/19,2019-08-28,GODOY CRUZ,2818,2818/22,18,21,28,20,Palermo,14,C1425FQN,Micro Obra,,-58.4243265828817,-34.5773812533655
9548769/18,2019-09-17,FRAY JUSTO SANTAMARIA DE ORO,2795,2795/99,18,21,53,3,Palermo,14,C1425FOO,Obra Media,1814.2,-58.4212195153086,-34.576115656480695
32055579/18,2019-08-20,"LACROZE, FEDERICO AV.",1947,1947/59,17,23,27,18a,Palermo,14,C1426CPE,Obra Mayor,9996.2,-58.441299019055,-34.565718996733
13158408/18,2019-06-14,"SIVORI, EDUARDO",2936,2936/38,19,15,166,20,Palermo,14,C1425DXB,Obra Menor,450.07,-58.4012306101632,-34.5787395214585
21499203/18,2019-06-18,DARREGUEYRA,2317,2317/21,18,19,158,18A,Palermo,14,C1425FLD,Obra Media,1175.23,-58.425079809073104,-34.5818431675971
25229911/19,2019-09-24,CABILDO AV.,701,701/15,17,23,20,21,Palermo,14,C1426AAH,Micro Obra,,-58.44401724703171,-34.5700447786031
34972109/18,2019-06-26,COSTA RICA,4051,4051/53,18,19,74,31,Palermo,14,C1176ADC,Obra Media,1615.9,-58.4198226222309,-34.5912392811639
13075414/19,2019-08-08,ARMENIA,1679,1679/83,18,19,49,14,Palermo,14,C1414DKI,Obra Menor,269.63,-58.4273169351444,-34.5897233318529
27998788/18,2019-08-28,AREVALO,1470,1470/76A,17,33,85,44B,Palermo,14,C1414CQD,Micro Obra,,-58.4430381605464,-34.5827413589148
34848672/18,2019-08-07,ARCE,434,434/60,23,23,82,2A/3,Palermo,14,C1426BSF,Obra Mayor,5099.78,-58.43204334995621,-34.5704299675943
19274889/18,2019-06-06,ANCON,5347,5347/49,17,23,4,18,Palermo,14,C1425BZE,Obra Media,1181.99,-58.433617878793605,-34.574622424149
12120659/19,2019-07-10,"ARGUIBEL, ANDRES",2860,2860,17,23,80,29d,Palermo,14,C1426DKB,Micro Obra,,-58.4300310253232,-34.5720251559492
20105889/19,2019-09-30,CIUDAD DE LA PAZ,16,16,17,35,78,2,Palermo,14,C1426AFB,Obra Menor,311.17,-58.4381451701999,-34.5767382035151
31318002/18,2019-08-27,"CARRANZA, ANGEL JUSTINIANO",1559,1559,17,35,4,15,Palermo,14,C1414COO,Obra Menor,50,-58.4394343015213,-34.5839387326257
7028087/19,2019-06-03,CASTEX,3285,3285/89,18,21,101,12,Palermo,14,C1425CDC,Micro Obra,24.63,-58.4042515594112,-34.5786588434723
22937043/19,2019-09-16,CONVENCION,1944,1944,17,35,35D,14,Palermo,14,C1414CRB,Micro Obra,,-58.4407758488818,-34.5798496403061
32394029/18,2019-07-11,CORDOBA AV.,5877,5877,17,33,70,24,Palermo,14,C1414BBE,Obra Mayor,2031.9,-58.44298365198001,-34.5854097275284
13659133/18,2019-06-07,EL SALVADOR,6083,6083,17,35,49,23,Palermo,14,C1414BQM,Obra Menor,116.53,-58.440150917607205,-34.5792215656335
32527820/18,2019-07-31,FRAY JUSTO SANTAMARIA DE ORO,1887,1887,18,19,87,6,Palermo,14,C1414DBC,Obra Mayor,158.8,-58.4294463592457,-34.5852354926994
34134673/18,2019-06-19,"LACROZE, FEDERICO",1755,1755,17,23,113,23a,Palermo,14,C1426CPC,Obra Media,1432.9,-58.439560139115706,-34.5639209529293
32750635/18,2019-08-16,GURRUCHAGA,2332,2332,18,19,155,15B,Palermo,14,C1425FEJ,Obra Media,1149.97,-58.4222148866879,-34.5838217846106
35256895/18,2019-09-30,HUMBOLDT,1317,1317,17,33,66B,8,Palermo,14,C1414CTI,Obra Media,1670.75,-58.439111306142905,-34.5880458391269
17675611/16,2019-06-07,"NEWBERY, JORGE",1680,1680/82,17,28,108,12,Palermo,14,C1426CXD,Micro Obra,,-58.4346287082909,-34.567135489402396
11907472/19,2019-06-12,"CAMPOS, LUIS M. AV.",1126,1126,17,23,23,3,Palermo,14,C1426BOW,Micro Obra,,-58.440063397441904,-34.5661919574575
20351819/17,2019-09-20,"CAMPOS, LUIS M. AV.",280,280,17,23,6,1h,Palermo,14,C1426BON,Obra Menor,137.13,-58.4325522063854,-34.5738760561231
34877666/18,2019-06-05,MEDRANO,1177,1177,18,19,6,10,Palermo,14,C1179AAU,Obra Menor,244.09,-58.419644099881495,-34.595705052483204
13785001/18,2019-07-30,"VEGA, NICETO, CNEL. AV.",5871,5871,17,33,83C,14,Palermo,14,C1414BFI,Obra Mayor,86.23,-58.441944276298706,-34.5845137935835
30234471/18,2019-06-04,OLLEROS,2130,2130,17,23,19,8,Palermo,14,C1426CRN,Obra Menor,158.55,-58.4413398472812,-34.5683260857807
6481747/17,2019-06-04,PARAGUAY,4865,4865/69,18,19,145,019C,Palermo,14,C1425BSU,Obra Media,2418.21,-58.4274987897112,-34.5818480494066
14538114/19,2019-07-05,"SCALABRINI ORTIZ, RAUL AV.",1295,1295,18,31,102,1,Palermo,14,C1414DNM,Micro Obra,,-58.4279307860475,-34.5932266827823
31600045/18,2019-08-08,FRAY JUSTO SANTAMARIA DE ORO,2155,2155,18,19,123,13,Palermo,14,C1425FOC,Obra Mayor,3394.31,-58.4273820236182,-34.583099082371305
10767562/18,2019-09-25,URIARTE,2246,2246,18,19,143,23,Palermo,14,C1425FNF,Obra Menor,70.12,-58.425676636600706,-34.5827894532788
